jobUrl,jobName,jobSalary,jobLocation,jobExperience,jobDegree,jobType,jobDetail,jobCompanyName
https://www.lagou.com/jobs/7257422.html?show=be0b58a48c114edc8378b7069454643b,java开发工程师,10k-15k,/北京/,经验3-5年/,本科及以上/,全职,职位诱惑：朝九晚六双休职位描述：1.有微服务技术平台开发及实施经验，熟悉SpringBoot、SpringCloud开发框架；2.熟悉一些主流中间件：Nacos、Shardingsphere、Redis、RocketMQ、PostgreSQL等；3.熟悉微服务架构，熟悉单元化架构，沟通及学习能力突出；4.3年以上互联网/IT行业从业经验，最好有金融行业实施经验。  5，需全国出差。是出差岗慎投工作地址北京-海淀区-世纪城--北京市北京四季青查看地图职位发布者:张女士人事,华盛天成
https://www.lagou.com/jobs/7258051.html?show=be0b58a48c114edc8378b7069454643b,Java,9k-12k,/广州/,经验3-5年/,大专及以上/,全职,职位诱惑：双休加班少福利多项目稳定职位描述：【任职要求】： 1.专科以上学历，理工科专业，具有3年或以上JAVA开发工作经验； 2.JAVA基础知识扎实，有较丰富项目经验；3.熟练掌握：Web服务器（tomcat）工具（git、maven） 非关系数据库（redis）开源框架（spring、springboot、mybatis、springmvc）微服务（springcloud） 基本了解：开源框架（mq）工作地址广州-花都区-人和镇空港南六路新白云国际机场南航信息中心大楼查看地图职位发布者:yo招聘专员,广州纳诺
https://www.lagou.com/jobs/7258082.html?show=be0b58a48c114edc8378b7069454643b,java开发工程师,10k-14k,/成都/,经验3-5年/,本科及以上/,全职,"职位诱惑：五险一金带薪年假定期团建弹性工作职位描述：职位描述：负责视频类APP的后端研发和优化；根据产品运营需求进行设计和调优；维护系统的稳定性和安全性； 岗位要求：本科以上学历,计算机相关专业优先；3年以上Java开发经验，熟悉Spring、SpringBoot、SpringCloud、MyBatis等常用框架；熟练使用MySQL、MongoDB等各种数据库，熟悉数据库设计及性能优化；熟悉消息中间件和缓存中间件，如ActiveMQ、RabbitMQ、Redis。工作地址成都-高新区-世纪城路66号四川广播电视台查看地图职位发布者:方方先生职位发布者",金熊猫
https://www.lagou.com/jobs/7259098.html?show=be0b58a48c114edc8378b7069454643b,java开发工程师,10k-15k,/广州/,经验3-5年/,本科及以上/,全职,职位诱惑：十三薪双休五险一金职位描述：岗位职责：1、开发新系统，对核心系统进行优化，重构等工作；2、维护各平台日常运行，保证现有各个Web程序稳定高效运行；3、为产品策划、运维提供技术支持和解决方案，配合产品测试人员修改相应的程序；4、完成部门主管安排的其他工作事宜。职位要求：1.1~3年Java相关开发经验，本科以上学历；2.精通Java语言，精通多线程编程，有性能优化经验者优先；3.熟练使用Spring，SpringSecurity，MyBatis等主流开发框架；4.熟悉基于SpringBoot、SpringCloud的微服务架构；5.熟练使用MySQL及其性能优化，熟悉数据库分片中间件Mycat或Sharding-JDBC；6.熟练应用成熟的分布式缓存、分布式存储技术方案，如Redis等；7.熟悉消息中间件RibbitMQ、RocketMQ、ActiveMQ其中之一；8.熟悉Linux环境下的开发，部署，维护等工作，熟悉Jenkins，Docker；9.具备独立设计并实现高并发、高可用的大型应用的能力；10.积极主动，责任心强，易于沟通，并能承受较大的工作压力。工作地址广州-天河区-天河软件园南区查看地图职位发布者:黄瑞瑜人事专员,炫音网络
https://www.lagou.com/jobs/4953039.html?show=62334ac70eb24370b250e323cc40f72f,Shopee2C业务群后台研发工程师,20k-40k,/深圳/,经验3-5年/,本科及以上/,全职,职位诱惑：外企氛围，蓝海市场，大牛多多，15天年假职位描述：RoleandResponsibilities负责东南亚和台湾市场领先的电商平台体系搭建，参与核心业务产品后台研发；参与亿级用户量的C端业务产品研发，具体产品形态跟随业务发展和市场需求不停的增加，目前有虚拟商品交易平台：覆盖东南亚多个市场的全品类虚拟产品。 信息流平台，对标微淘，使得用户可以发布自己的信息流，并且完成信息流到商店甚至具体商品的转化。直播平台：区别于国内的直播环境，如何适配东南亚差异化极大的网络环境，搭建shopee自己的视频网络是我们最大的挑战。社交广告平台：致力于整合全平台内容，完成内外社交网络的搭建。社交类和营销类H5游戏，不但需要使用人脸识别，动态物品追踪等技术完成有趣的游戏内容，更要承担大促期间爆发式的用户增长场景。智能化客服服务系统。整个TOC业务群项目，都需要在高性能、高并发、高可用的场景下，实现最优质的用户交互体验的同时，实现快速动态扩容和灾备机制；QualificationsandEducationRequirements计算机相关专业本科以上PreferredSkills全日制本科以上学历，计算机相关专业。精通的编程语言，例如Go、Python，语言不限。有电商/金融等相关行业经验优先。有高性能，高并发软件系统研发经验优先。熟悉服务端RPC框架的使用。精通MySQL、Redis和相关的数据库技术。扎实的计算机科学基础。有较好的英文听说读写能力。工作地址深圳-南山区-达实大厦查看地图职位发布者:Shopee...职位发布者,Shopee
https://www.lagou.com/jobs/5451698.html?show=62334ac70eb24370b250e323cc40f72f,Shopee2C业务群业务测试工程师,20k-40k,/深圳/,经验3-5年/,本科及以上/,全职,"职位诱惑：年假多；零食丰富；弹性制度；扁平化管理职位描述：RoleandResponsibilities负责东南亚和台湾市场领先的电商平台社交电商类方向功能性能及专项测试；具有较大的业务及技术挑战性，成长空间可期；测试领域新技术的调研、落地和实践；在高性能、高并发、高可用的技术场景下，实现软件系统的设计与开发；根据产品需求进行系统、模块测试,包括用例设计、执行、BUG提交和追踪,测试报告等；调研并使用开发测试工具和自动测试框架、自动测试脚本,进行自动化测试,提升测试效率；根据项目过程中的体验对产品提出改进建议以提升用户感受,对项目质量风险进行评估和把控,给出解决方案；对项目开发流程和工具进行优化,提高RD和整个项目的交付效率,能够协助开发定位问题。QualificationsandEducationRequirements计算机相关专业本科以上PreferredSkills计算机相关专业，本科及以上学历；有良好的代码能力；熟悉web相关测试熟悉Linux或Unix操作系统；熟悉shell脚本或dos命令；至少熟悉一门面向对象开发语言，Java或Python，了解selenium、appium或其他自动化测试框架，有一定代码功底优先；熟悉任意一种数据库，熟练编写sql；有接口测试、app专项测试性能测试经验者优先；有视频直播或大型社交类app测试经验者优先;学习能力强，有较强分析和解决问题的能力，工作积极主动，有责任心；有交易系统、分布式系统、数据库测试经验者优先；有较好的英文听说读写能力。工作地址深圳-南山区-达实大厦查看地图职位发布者:Shopee...职位发布者",Shopee
https://www.lagou.com/jobs/6711939.html?show=62334ac70eb24370b250e323cc40f72f,windows高级软件工程师,15k-30k,/杭州/,经验5-10年/,本科及以上/,全职,"职位诱惑：员工期权，五险一金，下午茶，出国机会职位描述：windows高级软件工程师 概述：                                                         ThepositionisforaseniorsoftwareengineerpositiononWindowssystemsoftwaredevelopment.Wearelookingforhighlymotivatedcandidateswhoareambitious,self-assured,possessstrongcan-doattitude,andwanttobepartofaworld-classteam.Thesuccessfulcandidatemustbecomfortableworkinginalooselystructuredorganization,andbecapableofworkingonanumberofassignmentsinparallel.该职位为高级软件工程师,负责Windows系统软件开发。我们需要有野心的、自信的、拥有强大的能动性的候选人，并希望其成为***研发团队的一员。成功的候选人必须在一个扁平宽散结构的组织中舒适工作，并能同时承担多项平行的任务。 岗位职责Responsibilities:1．Design,implementationandmaintenanceofWindowsEncryptionproductwithpopularlanguagec/c++forMicrosoftWindowsplatform.使用流行的语言c/c++设计，实现和维护微软Windows平台系统加解密安全产品2．Comingupwithtechnicaldesignfromtherequirements.根据要求提出技术设计。3．Prototypingnewfeaturestodeterminefeasibilityandtimeestimatesforimplementationofnewfeatures.确定新需求/特性的可行性和实施时间估算。4．Interactingwithotherengineeringteamstoreviewdesignsandtodefineinterfacesbetweenvariouscomponents.与其他团队进行交互，审查设计并定义不同组件之间的接口等问题。5．Coachingjuniorengineers.指导和培养其他工程师。 岗位要求：Qualification:1.BS/MSdegreeincomputerscienceorelectricalengineering,BS/MSinengineeringdegreewithemphasisorstrongworkingknowledgeofComputerScience.计算机相关专业本科/硕士，具有良好的计算机科学相关知识。2.5+yearsofC/C++/c#experienceontheWindowsplatform.五年以上windows平台的c++/c/c#编程经验。3.StrongObject-orientedanalysisanddesignskills；较强的分析设计能力；4.Havestrongknowledgeonwindowssystem,familiarwithmultithreadingandsynchronization对Windows操作系统有较深的理解，熟悉多线程及其同步机制5.ExperienceinWinDbg,ApplicationVerifyetc.Debugandanalyzetool.熟悉WinDbg及相关调试分析工具6.Plusitem:Experienceinwindowsdriverdevelopment,especiallyfilesystemminifilterdrivers.加分项：有Windows驱动开发经验，特别是文件系统minifilter驱动开发7.Strongcommunicationandteamworkskills.Englishcommunicationskill;Strongproductqualityawareness.较强的团队沟通和协作能力,英语能力，并具有较好的产品质量意识。工作地址杭州-西湖区-翠柏路7号电子商务产业园106室查看地图职位发布者:HRHR",信领达
https://www.lagou.com/jobs/7245551.html?show=62334ac70eb24370b250e323cc40f72f,C/C++Linux服务器架构师,20k-40k,/广州/,经验3-5年/,本科及以上/,全职,"职位诱惑：前沿行业、清华团队、薪资福利好职位描述：【职责描述】负责与参与基于Linux平台的高性能交易服务器的设计工作； 【任职要求】1、计算机及相关专业本科或以上学历,3年及以上的Linux平台下C,C++架构搭建经验；2、熟悉C/C++语言,熟练操作Linux系统，具备丰富的架构设计经验，能够准确、全面的理解业务，并根据业务发展设计合理的架构方案；3、具有良好的沟通能力，责任心强，有团队意识，善于思考，肯钻研，有独立解决问题能力; （三）发展前景1、清华大学电子系媒体大数据计算研究中心王生进教授团队，其在计算机视觉国际会议（ICCV、CVPR、ECCV）累计发表论文20余篇；2、清华研究团队背景，众多技术大牛深度接触，丰富个人的技术维度；3、行业资深人员指导，强化个人的技术深度；4、人工智能（AI）前沿领域，广阔的市场探索方向，拓展个人的职业空间；5、优异者，可提供清华媒体大数据认知计算研究中心学习交流机会、并与清华AI博/硕士定期交流学习；工作地址广州-黄埔区-揽月路105号保利中科广场B座507-8室查看地图职位发布者:曹小姐HR",华云智能（北京）科技有限公司
https://www.lagou.com/jobs/7259181.html?show=62334ac70eb24370b250e323cc40f72f,C++研发工程师G00902,15k-25k,/上海/,经验5-10年/,本科及以上/,全职,职位诱惑：五险一金，上市公司职位描述：岗位职责：1、负责公募基金相关系统的设计和开发；2、根据产品需求进行系统设计和编码；3、持续对系统架构进行改造和优化。任职要求：1、本科及以上学历，计算机相关专业，5年及以上的互联网服务器端开发经验； 2、熟练使用C/C++语言进行编程，掌握TCP/IP、HTTP等网络相关技术，熟悉GO或PHP者更佳；3、熟练掌握mysql数据库，具备mysql索引优化，查询优化的能力；4、掌握至少一种网络服务框架和消息中间件，了解其实现原理；5、具备Linux/Unix下编程和操作经验；6、有基金行业相关工作经验者优先考虑。工作地址上海-杨浦区-长阳路-长阳路1687号长阳谷2号楼诺亚财富查看地图职位发布者:魏魏冠冠HR,诺亚（中国）控股有限公司
https://www.lagou.com/jobs/7260856.html?show=62334ac70eb24370b250e323cc40f72f,c++开发工程师,15k-25k,/北京/,经验5-10年/,本科及以上/,全职,职位诱惑：弹性工作。工作氛围融洽，更多福利等你来。职位描述：pc端开发工程师，开发lc应用pc端。主要功能模块，视频会议，课件，支付等等https://app.lagou.com/share/position.html?userId=580157&positionId=7258432&fromUser=C&sharesource=app_share_jd&sharetype=copy&sharefrom=ios工作地址北京-朝阳区--北京市朝阳区东直门外斜街靠近云龙之星会议中心查看地图职位发布者:董书长高级iOS开发工程师,艾恩斯
