companyUrl,companyName,companyRealName,companyHireNumber,CVprocessingRate,CVprocessingDay,commentNumebr,lastLoginDate,companyScale,companyLocation,companyIntroduce,companyDeveloping
https://www.lagou.com/gongsi/117516168.html,橙橙,上海橙晟网络科技有限公司,,暂无,暂无,暂无,今天,,,目前研发的游戏产品是阿拉德之怒dnf手游,
https://www.lagou.com/gongsi/451.html,腾讯,腾讯科技（深圳）有限公司,,100%,1天,130个,今天,,,腾讯公司成立于1998年11月，是目前中国最大的互联网综合服务提供商之一，也是中国服务用户最多的互联网企业之一。成立十年多以来，腾讯一直秉承“一切以用户价值为依归”的经营理念，始终处于稳健发展的状态。,
https://www.lagou.com/gongsi/589.html,多益网络,广州多益网络股份有限公司,,1%,1天,53个,今天,,,    多益网络成立于2006年，是中国优秀互联网企业，连续六年上榜由国家工信部发布的中国互联网企业百强榜，2017年位列该榜第25位。先后被国家科技部、国家发改委和工信部认定为高新技术企业和重点软件企业，为广州市认定的总部企业。2015年，公司净利润已突破10亿元，旗下业务涵盖网络游戏、电子邮箱、即时通讯等互联网产品。,
https://www.lagou.com/gongsi/1880.html,快手,北京达佳互联信息技术有限公司,,36%,1天,23个,今天,,,,
https://www.lagou.com/gongsi/1880.html,快手,北京达佳互联信息技术有限公司,,36%,1天,23个,今天,,,,
https://www.lagou.com/gongsi/62.html,字节跳动,北京字节跳动科技有限公司,,56%,1天,189个,今天,,,字节跳动成立于2012年3月，是最早把人工智能技术大规模应用于信息分发的公司之一。“字节跳动”的含义：字节，作为计算机数据的基本储存单位，代表各种各样的信息。跳动，描述信息有韵律感的流动。字节跳动，意味着通过我们的努力，在全世界范围促进信息的创造和流动，正如公司的愿景：全球创作与交流平台。,
https://www.lagou.com/gongsi/1880.html,快手,北京达佳互联信息技术有限公司,,36%,1天,23个,今天,,,,
https://www.lagou.com/gongsi/7461.html,有赞,杭州有赞科技有限公司,,19%,1天,51个,今天,,,【业务和产品】,
https://www.lagou.com/gongsi/24748.html,平安科技,平安科技（深圳）有限公司,,100%,1天,3个,今天,,,平安科技是平安集团的全资子公司，致力于运用人工智能、智能认知、云计算、区块链等前沿科技，为人们打造全新云生活。对内，平安科技是平安集团的高科技内核和科技企业孵化器，负责开发并运营集团的关键平台和服务。对外，平安科技以智慧科技为手段、以智造未来为蓝图，聚焦于医疗、金融、智慧城市三大领域，将国际权威认证的技术能力应用到实际业务场景中，打造生态闭环，积极践行科技改变生活的企业理念。,
https://www.lagou.com/gongsi/24748.html,平安科技,平安科技（深圳）有限公司,,100%,1天,3个,今天,,,平安科技是平安集团的全资子公司，致力于运用人工智能、智能认知、云计算、区块链等前沿科技，为人们打造全新云生活。对内，平安科技是平安集团的高科技内核和科技企业孵化器，负责开发并运营集团的关键平台和服务。对外，平安科技以智慧科技为手段、以智造未来为蓝图，聚焦于医疗、金融、智慧城市三大领域，将国际权威认证的技术能力应用到实际业务场景中，打造生态闭环，积极践行科技改变生活的企业理念。,
