title,jobDescrib,companyName,companyIndustry,companyType,companyScal,companyTage,companyLocation,jobUrl
算法实习生（精品课）, 岗位描述 1. 熟练使用spark，hadoop等大数据处理框架对数据进行分析和处理 2. 熟练使用机器学习算法进行特征工程和算法建模，对实验数据进行处理和分析，发现现有系统和算法的不足，提出改进并推动实现； 3. 追踪算法前沿技术，探索将新技术应用于实际业务。 岗位要求 1. 正直诚信、有责任感、有激情； 2. 模式识别/人工智能/数学/计算机相关专业，硕士以上学历； 3. 熟练使用java，熟练使用spark，hadoop等大数据处理框架 3. 熟悉各种机器学习算法，深度神经网络模型，并掌握相关实现及优化方案； 4. 有广告系统，推荐系统实践经验者优先&semi 有Deep Learning实战经验者优先 5. 具有较强编程能力，熟练使用至少一种脚本语言（python/shell等），有java开发经验，熟悉linux开发环境。 6. 学习能力强，能独立分析并解决问题。 ,网易有道,互联网 游戏 软件 ,"民营企业
",500-2000人 , 免费班车 轻松活跃 领导逗比 研发 行业经验丰富 有创意 员工食堂 互联网教育 ,北京 ,https://www.shixiseng.com/intern/inn_lhhj2c39ovwk?pcm=pc_SearchList
高性能计算实习生（C++）," 1，熟练使用Neon或者某一种DSP芯片指令进行硬件加速计算 2，对深度神经网络计算进行整理，优化关键模块 3，追踪前沿高性能计算算法，探索新技术应用于实际业务中   资格要求： 1，计算机科学与技术专业, 硕士及以上学历.  2，熟悉深度神经网络，多线程编程，精通C语言，熟悉Linux环境下编程 3，有充满激情的工作态度，能够在没有监督的情况下按质按量主动完成工作任务、团队协同作战能力强。 4，保证每周三天以上的到岗率，能够给出清晰的工作计划，能够按时完成工作任务。 5，有强烈的学习欲望，能够主动学习新知识。 6，有高性能计算硬件加速项目实践经验者优先.  ",网易有道,互联网 游戏 软件 ,"民营企业
",500-2000人 , 免费班车 轻松活跃 领导逗比 研发 行业经验丰富 有创意 员工食堂 互联网教育 ,北京 ,https://www.shixiseng.com/intern/inn_viwpj7xbqm6t?pcm=pc_SearchList
机器学习算法实习生, 职位描述： 1. 针对图像处理、OCR、语音识别、语音合成、机器翻译、自然语言理解、计算广告、内容推荐等业务，开发机器学习算法原型系统，开展线上算法实验； 2. 对实验数据进行处理和分析，发现现有系统和算法的不足，提出改进并推动实现； 3. 追踪算法前沿技术，探索将新技术应用于实际业务。 资格要求： 1. 计算机或相关专业学历，有较多的程序开发经验； 2. 熟悉Linux，java和C/C++开发； 3. 有以下领域之一的背景：机器学习 / 数据挖掘 / 信息检索 / 自然语言处理 / 统计分析 / 图像处理 / OCR / 语音识别，有深度学习和神经网络模型经验者优先； 4. 良好的主动性、逻辑思维能力和沟通能力。 ,网易有道,互联网 游戏 软件 ,"民营企业
",500-2000人 , 免费班车 轻松活跃 领导逗比 研发 行业经验丰富 有创意 员工食堂 互联网教育 ,北京 ,https://www.shixiseng.com/intern/inn_9qjhytoqejbw?pcm=pc_SearchList
图像识别算法实习生," 职位描述： 1，熟练使用opencv库进行图像或视频处理，与后端图像深度识别算法对接 2，具备丰富的python编程经验，熟悉linux 开发环境，熟练使用python和C语言进行图像识别 3，追踪前言算法，探索新技术应用于实际业务中 资格要求： 1，计算机科学与技术专业, 图像和视觉专业优先. 硕士及以上学历. 2，熟练使用opencv库进行图像或视频处理.  3，具备丰富的python编程经验，熟悉linux 开发环境.  4，熟悉图像语义识别、图像分割相关网络模型,如RNN, CNN等，熟悉tensorflow、caffe等工具使用。  5，有图像分割、目标检测的项目实践经验者优先. ",网易有道,互联网 游戏 软件 ,"民营企业
",500-2000人 , 免费班车 轻松活跃 领导逗比 研发 行业经验丰富 有创意 员工食堂 互联网教育 ,北京 ,https://www.shixiseng.com/intern/inn_zbbrw7oyccch?pcm=pc_SearchList
NLP算法实习生," 岗位职责： 1. 利用自然语言处理技术和机器学习算法对文本数据进行挖掘分析；  2. 负责自然语言处理技术在机器翻译、自动批改、自动问答、人机对话、语义理解等方向上的应用研究； 3. 负责自然语言处理相关核心技术研发及前沿算法跟踪，根据产品需求完成技术转化，推动业务发展。 岗位要求： 1. 正直诚信、有责任感、有激情；  2. 计算机/模式识别/人工智能/数学相关专业，本科以上学历；  3. 实践过自然语言处理任务中的至少一种任务，包括但不限于分词、词性标注、命名实体识别、语言模型、句法分析、数据抓取、文本分类、文本检索、情感分析、自动问答、自动批改、自动摘要、机器翻译等；  4. 具有较强编程能力（熟悉C++/Java），熟练使用至少一种脚本语言（Python/Shell等）； 5. 熟悉面向文本的常见机器学习算法（逻辑回归、SVM、决策树、贝叶斯等）的原理与算法，以及CNN、RNN、LSTM、Sequence to sequence、GAN等模型者优先； 6. 熟悉Hadoop、Spark、Nutch框架者优先； 7. 有Tensorflow, Caffe2, Theano等深度学习框架与自然语言处理结合实际项目经验者优先； 8. 良好的英语阅读能力，学习能力强，能独立分析并解决问题 ",网易有道,互联网 游戏 软件 ,"民营企业
",500-2000人 , 免费班车 轻松活跃 领导逗比 研发 行业经验丰富 有创意 员工食堂 互联网教育 ,北京 ,https://www.shixiseng.com/intern/inn_hnon7nwcun6f?pcm=pc_SearchList
算法教研实习生, 【岗位职责】 1、负责信息学、ACM算法题目挖掘、算法设计、测试点编写； 2、配合课程体系，对算法题目进行分类、打标签工作； 3、参与教研团队算法设计与教研工作。 【任职要求】 1、本科及以上学历，计算机相关专业； 2、掌握C、C++语言； 3、了解基本的数据结构和算法； 4、逻辑清晰，思维敏捷，有责任感和内容品质追求； 5、学习能力强，能主动学习新技术者优先； ,网易有道,互联网 游戏 软件 ,"民营企业
",500-2000人 , 免费班车 轻松活跃 领导逗比 研发 行业经验丰富 有创意 员工食堂 互联网教育 ,北京 ,https://www.shixiseng.com/intern/inn_hwhshnh8gsf8?pcm=pc_SearchList
算法实习生, 【工作内容】 1. 基于京东海量的用户和商家数据，应用机器学习算法，优化搜索排序 【任职要求】 1. 对机器学习、数据挖掘、深度学习等算法领域有扎实的基础和相关经验 2. 计算机、数学及相关专业研究生、博士生 3. 熟悉python、C++与Linux开发 4. 良好的沟通协调能力，较好的主动性和求知欲 5. 熟悉tensorflow、pytorch、caffe等学习框架优先 6. 熟悉强化学习及相关框架，或对其有强烈兴趣者优先 ,京东,互联网 游戏 软件 ,"民营企业
",2000人以上 , 精英多多 团队实力强 锻炼自我 专业、活力、创造 AI 技术大牛坐镇 精英 nice氛围 创新 ,北京 ,https://www.shixiseng.com/intern/inn_5dulniimffq6?pcm=pc_SearchList
图像算法工程师, 【岗位职责】 1、对前沿图像技术进行调研和分析 2、对研发所需数据组织收集和整理 3、客户需求的分析及图像处理等项目的实施  4、负责设计、实现机器视觉算法(如图像分类、单目测距、目标识别等) 【任职要求 】 1、图像处理、模式识别、机器学习、计算机等相关方向本科及以上学历  2、Cet6及以上，熟练的英文文献资料阅读能力 3、具有较强的编码能力，C、C++、Python至少熟悉一种，熟悉Opencv 4、至少一种深度学习框架，Tensorflow/Pytorch/Caffe 【你将获得】 1、高薪酬 2、独立设计实现算法机会 3、与大牛深度交流、学习 ,南京畅淼,交通 贸易 物流 ,"民营企业
",15-50人 , ,江苏/南京 ,https://www.shixiseng.com/intern/inn_82t4cpokotfq?pcm=pc_SearchList
机器人软件开发工程师实习, 太昂科技2018年注册于上海，由数位海归博士与机器人四大家族高管共同创立。致力于开发智能仿生移动机器人，服务于物流、医疗、教育等领域。同时，专注于提供可靠的服务与系统解决方案，以及专业的机器人系统定制化设计服务。公司目标产品处于国际领先水平，拥有多项专利，技术占据市场热点，并于2018年初获得千万天使轮投资。在此诚招有志之士，共享更广阔的平台。公司坐落于上海张江高科技园区中心，毗邻Google、惠普、IBM、百度、Honeywell等高科技企业，属于Guojia级人工智能发展核心区域。园区基础设施完善，交通便利。我们追求理想与价值的共同实现，秉承信念。有趣的人生不过是一群志同道合的兄弟姐妹，在一起做一件永远新鲜的事。我们采用弹性工作制，提供五险一金、年度体检、团建基金、关怀基金、带薪年假等员工福利与保障。并且还有咖啡、健身、娱乐、球赛等福利。你的职业规划、人生轨迹、薪资待遇都可以大胆想象！在此，我们提供机器人软件发工程师。如果你是机器人软件研发专家，我们希望你：* 熟悉Python、C++、Java。* 熟悉常用算法与数据结构的基本原理与适用场景。对并发编程、分布式编程熟悉者优先。* 熟悉软件工程开发基本原理。有意识书写注释与保持代码的整洁有序。* 熟悉ROS，拥有机器人软件编写相关经验者（包括且不仅限于AGV、机械臂）优先。* 了解IOT，拥有编写IOT的相关经验者优先。* 了解人工智能（AI）技术，拥有编写AI经验者优先。* 有GUI或网页编程经验者优先。* 关注最新技术，英文阅读能力良好。拥有钻研新技术的兴趣，并转化为工作技术输出。有个人技术博客或GITHUB有对开源库作出贡献者优先。* 具有良好的沟通能力，有责任感和团队合作意识。* 每周至少工作4天，实习期2个月起。你的职责将会是：* 根据产品需求，编写相关的机器人逻辑实现代码。* 集成同事编写的视觉核心算法或第三方的部件提供商暴露的接口。* 为自己编写的代码编写文档。 ,太昂科技,农林牧渔 其他 ,"民营企业
",15-50人 , ,上海 ,https://www.shixiseng.com/intern/inn_d5zjyrk5yt9j?pcm=pc_SearchList
计算机视觉工程师, 计算机视觉工程师 为产品需求的落地提供可靠的算法解决方案； 编写产品算法和视觉模块的代码； 为自己实现的相关算法、接口编写文档。   基本要求 拥有计算机相关专业硕士学历； 熟悉Python或C++，以及相关的开源视觉库，科学计算库（包括且不仅限于Open CV），能自觉保持代码可读性，有在GITHUB上对类库作出贡献者优先； 熟悉常见的视觉算法，熟练掌握SLAM等机器人常用的视觉算法原理，且能根据实际情况对算法进行选择、组合与优化； 熟悉深度学习原理与基本模型，在公开测试集取得优秀成果者优先； 关注最新技术，英文阅读能力良好。拥有钻研新技术的兴趣，并转化为工作技术输出。有个人技术博客者优先； 具有良好的沟通表达能力，有责任感和团队合作意识。   职位介绍： 太昂科技的计算机视觉工程师是一群热衷于打造和实现复杂计算机视觉解决方案的研发人员，不仅负责开发视觉算法方案，而且要与众多太昂研发工程师通力协作。因此，计算机视觉工程师不仅需要具备解除的研究和互动能力，还需要具有一颗好奇心。你需要精通数据结构和算法，并对内容整合技术有浓厚的兴趣，具备扎实的计算机科学基础，能够不断提出新想法；努力深入了解我们的产品和服务，以便不断对其进行改进。打造协作型高科技公司，汇聚众多高技术水准和编程技能且注重质量的工程师，是我们不懈的追求。 作为技术研发部门的计算机视觉工程师，你将利用自己的算法、编程技能打造创新的机器人视觉识别模块。你每天都要应对极具挑战的新情况，并将与其他各个工程师开展合作，共同提供具有太昂特色的机器人视觉方案。   太昂是一家以技术为主的公司，我们的员工需要具备多种多样的技术技能，能够随时应对一些最棘手的技术难题。太昂不仅包容多样性，而且还提倡和推崇多样性。多样性让我们的员工、产品受益良多，是我们不断发展进步的基石。太昂一贯秉持并积极践行机会均等的理念，为所有员工提供公平的发展机会。 ,太昂科技,农林牧渔 其他 ,"民营企业
",15-50人 , ,上海 ,https://www.shixiseng.com/intern/inn_kjs3mvojrnvw?pcm=pc_SearchList
